Date Reported,Organization Name,Date of Breach,Number of Washingtonians Affected,Information Compromised
12/1/20,Kitsap County Credit Union,5/19/20,3268,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Medical Information; Other
12/1/20,Matson Navigation Company,,2991,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Other
12/1/20,Stride Inc.,11/4/20,742,Name; Social Security Number; Passport Number
11/20/20,"Senior Operations, LLC (Senior Aerospace AMT & Damar AeroSystems)",10/21/20,2543,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Passport Number; Other
11/18/20,"Windstream Holdings II, LLC",7/11/20,643,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Medical Information
11/13/20,Georgia Southern University,2/7/20,552,Name; Social Security Number; Full Date of Birth; Other
11/10/20,Woodruff Sawyer & Co.,3/2/20,2393,Name; Full Date of Birth; Medical Information
11/5/20,Green America,2/7/20,1127,Name; Full Date of Birth; Other
11/5/20,"VF Outdoor, LLC (The North Face)",10/8/20,366,Name; Full Date of Birth; Email Address and Password/Security Question Answers; Other
11/4/20,Amtrak,,1208,Username and Password/Security Question Answers; Other
10/29/20,Feed the Children,2/7/20,21257,Name; Full Date of Birth; Other
10/29/20,Hutchinson School,2/7/20,3,Name; Social Security Number; Other
10/29/20,MK Periodontics and Implants,,8000,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Medical Information; Other
10/28/20,"JM Bullion, Inc.",1/1/20,882,Name; Financial & Banking Information; Other
10/27/20,Luxottica of America Inc.,8/9/20,12166,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
10/27/20,"TrueFire, LLC",2/21/20,2633,Name; Full Date of Birth; Username and Password/Security Question Answers; Other
10/27/20,"Ascend Clinical, LLC",,1959,Name; Social Security Number; Medical Information; Other
10/25/20,"Hi-Line Ranch, Harris Farms, Cherry River Farms",9/27/20,852,Name; Social Security Number
10/23/20,"Fragomen, Del Rey, Bernsen & Loewy, LLP",7/1/20,581,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number
10/22/20,"University of Nevada, Las Vegas Foundation",2/7/20,2563,Name; Full Date of Birth; Student ID Number
10/21/20,Carroll College,2/7/20,2166,Name; Full Date of Birth; Other
10/21/20,Sam's Club,,771,Name; Email Address and Password/Security Question Answers; Other
10/16/20,"Wyndham Capital Mortgage, Inc.",9/18/20,569,Name; Social Security Number; Other
10/16/20,The Health & Wellness Clinic,8/29/20,889,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Medical Information; Other
10/15/20,"University of Nevada, Reno",2/7/20,3361,Name; Full Date of Birth
10/13/20,Carnival Corporation & PLC,,65149,Name; Full Date of Birth; Passport Number; Other
10/13/20,Forest Ridge School of the Sacred Heart,2/7/20,555,Name; Social Security Number; Full Date of Birth; Other
10/12/20,Evergreen Public Schools,9/14/20,3585,Name; Social Security Number
10/12/20,EyeMed Vision Care LLC,6/24/20,19625,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Other
10/12/20,Evergreen Public Schools,9/14/20,3585,Name; Social Security Number
10/9/20,American Symphony Orchestra League,2/7/20,1355,Other
10/6/20,Gymshark Limited,,59769,Name; Full Date of Birth; Other
10/2/20,PupBox,2/26/20,1046,Name; Financial & Banking Information; Unique Private Key (e.g. used to authenticate or sign an electronic record); Email Address and Password/Security Question Answers
10/2/20,"Farm Sanctuary, Inc.",2/7/20,1065,Name; Full Date of Birth
10/1/20,Gallaudet University,2/7/20,1195,Name; Full Date of Birth; Other
9/30/20,World Relief,2/7/20,734,Name; Full Date of Birth
9/30/20,Made in Oregon,2/1/20,537,Name; Financial & Banking Information; Other
9/30/20,"Northwest Eye Surgeons, P.C. and Sight Partners LLC",,6809,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Medical Information
9/29/20,"Spire Hospitality, LLC",,516,Name; Social Security Number; Full Date of Birth; Unique Private Key (e.g. used to authenticate or sign an electronic record); Other
9/29/20,"CBD Industries, LLC",3/30/20,1088,Name; Financial & Banking Information; Other
9/29/20,Catholic Memorial School,2/7/20,23,Name; Full Date of Birth; Other
9/28/20,5th Avenue Theatre Association,8/30/20,3468,Name; Social Security Number; Full Date of Birth
9/28/20,Mary's Place,2/7/20,10000,Name; Full Date of Birth; Other
9/25/20,Bayley Construction,7/14/20,938,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number
9/25/20,"Doug Flutie, Jr. Foundation for Autism, Inc.",2/7/20,3,Name; Full Date of Birth; Other
9/23/20,Point Loma Nazarene University,2/7/20,1967,Name; Full Date of Birth; Student ID Number
9/18/20,Minnesota State University Mankato Foundation,2/7/20,1134,Name; Full Date of Birth; Other
9/18/20,Ball State University Foundation,2/7/20,755,Name; Social Security Number; Other
9/18/20,Homeward Pet Adoption Center,2/7/20,36050,Name; Full Date of Birth; Other
9/18/20,St. Hubert's Church,8/20/20,657,Name; Full Date of Birth; Other
9/18/20,"FabFitFun, Inc.",4/26/20,11094,Name; Financial & Banking Information; Email Address and Password/Security Question Answers; Other
9/18/20,Joslin Diabetes Center,2/7/20,1212,Name; Full Date of Birth; Medical Information
9/18/20,U.S. Bank,7/30/20,1292,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Other
9/17/20,Greenworks Tools,7/14/19,679,Name; Financial & Banking Information; Other
9/17/20,Western Washington University Foundation,2/7/20,165000,Name; Full Date of Birth; Student ID Number; Other
9/17/20,Ponti Veterinary Hospital,8/14/20,135,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
9/17/20,Tidewater Community College Education Foundation,2/7/20,1029,Name; Full Date of Birth; Other
9/15/20,American Medical Association Foundation,2/7/20,1369,Name; Full Date of Birth; Other
9/15/20,American Heart Association,2/7/20,7658,Name; Full Date of Birth; Other
9/14/20,Northern Light Health,2/7/20,280,Name; Full Date of Birth; Medical Information; Other
9/14/20,Children's Cancer Association,2/7/20,1752,Name; Full Date of Birth; Medical Information
9/14/20,"AARP, Inc. & AARP Foundation",2/7/20,248615,Name; Full Date of Birth
9/14/20,Valley City State University Foundation,2/7/20,71,Name; Full Date of Birth; Other
9/14/20,Jewish Family Service,2/7/20,3204,Name; Full Date of Birth; Other
9/14/20,Baylor Genetics,9/24/19,804,Name; Financial & Banking Information; Full Date of Birth; Medical Information
9/11/20,YouthCare,2/7/20,3410,Name; Full Date of Birth; Other
9/11/20,"CorePower Yoga, LLC",11/7/19,618,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
9/9/20,Inova Health System,2/7/20,2470,Name; Full Date of Birth; Medical Information; Other
9/9/20,KidsQuest Children's Museum,2/7/20,57024,Name; Full Date of Birth; Other
9/8/20,Florida International University Foundation,2/7/20,922,Name; Full Date of Birth
9/8/20,Virginia Mason Medical Center,2/7/20,227371,Name; Full Date of Birth; Other
9/8/20,NOLS,2/7/20,3049,Name; Full Date of Birth; Other
9/8/20,Saybrook University,2/7/20,935,Name; Full Date of Birth; Other
9/8/20,Pacific University Oregon,2/7/20,9196,Name; Full Date of Birth; Other
9/8/20,The University of Notre Dame,2/7/20,3209,Name; Full Date of Birth; Other
9/7/20,Operation Homefront,2/7/20,5272,Name; Full Date of Birth; Other
9/4/20,Children's Home Society of Washington,2/7/20,564,Name; Financial & Banking Information; Other
9/4/20,Navy League of the United States,2/7/20,1398,Name; Full Date of Birth; Other
9/4/20,Drake University,2/7/20,1050,Name; Full Date of Birth
9/4/20,Southern Adventist University,2/7/20,1336,Name; Full Date of Birth; Student ID Number; Other
9/4/20,"Artech, L.L.C.",1/5/20,1664,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Unique Private Key (e.g. used to authenticate or sign an electronic record); Passport Number; Health Insurance Policy or ID Number; Medical Information
9/4/20,Hydrocephalus Association,2/7/20,835,Name; Full Date of Birth; Medical Information; Other
9/3/20,"Osmose Utilities Services, Inc.",7/10/20,577,Name; Social Security Number; Financial & Banking Information; Health Insurance Policy or ID Number
9/3/20,Polycystic Kidney Disease Foundation,2/7/20,8052,Name; Full Date of Birth; Medical Information; Other
9/3/20,Live Auctioneers,6/19/20,38523,Name; Email Address and Password/Security Question Answers; Other
9/3/20,Olympic College Foundation,2/7/20,25583,Name; Full Date of Birth; Other
9/2/20,Hamline University,2/7/20,1066,Name; Full Date of Birth; Other
9/2/20,University of Rhode Island Foundation,2/7/20,500,Name; Full Date of Birth; Other
9/2/20,Nutranext,5/27/20,580,Name; Financial & Banking Information; Other
9/2/20,Warner Music Group,4/25/20,3368,Name; Financial & Banking Information; Other
9/2/20,University of North Dakota Alumni Association and Foundation,2/7/20,2687,Name; Full Date of Birth
9/1/20,"Guide Dogs for the Blind, Inc.",2/7/20,8169,Name; Full Date of Birth; Other
8/31/20,Planned Parenthood Los Angeles,2/7/20,1027,Name; Full Date of Birth; Other
8/31/20,The Open Window School,2/7/20,1929,Name; Full Date of Birth; Medical Information
8/31/20,Assured Imaging,5/15/20,37702,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information; Other
8/28/20,University of Alaska Foundation,2/7/20,6586,Name; Full Date of Birth; Student ID Number
8/28/20,Jane Goodall Institute,2/7/20,3367,Name; Other
8/28/20,"AliMed, Inc.",6/1/19,672,Name; Financial & Banking Information
8/27/20,University of Puget Sound,2/7/20,1429,Name; Full Date of Birth; Other
8/27/20,"The Omicron Delta Kappa Society and Educational Foundation, Inc.",2/7/20,1753,Name; Full Date of Birth; Other
8/26/20,"Stericycle, Inc.",10/1/19,1284,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Passport Number; Health Insurance Policy or ID Number; Medical Information
8/25/20,Westcor Land Title Insurance Company,,979,Name; Social Security Number; Username and Password/Security Question Answers
8/24/20,Pruitt-Hamm Law and Mediation Services,5/22/20,2,Name; Social Security Number; Driver's License or Washington ID Card Number
8/24/20,Planned Parenthood of the Great Northwest and the Hawaiian Islands,2/7/20,60813,Name; Full Date of Birth; Other
8/24/20,Arbiter Sports,,16465,Name; Social Security Number; Full Date of Birth; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
8/24/20,Southern New Hampshire University,2/7/20,1826,Name; Full Date of Birth; Other
8/21/20,Boy Scouts of America,2/7/20,981068,Name; Full Date of Birth; Other
8/21/20,West Virginia University Foundation,2/7/20,1015,Name; Full Date of Birth; Other
8/21/20,"Cetera Financial Group, Inc.",4/6/20,2760,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
8/21/20,MultiCare Health System,2/7/20,302769,Name; Full Date of Birth; Medical Information; Other
8/21/20,Heifer Project International,2/7/20,120041,Name; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number; Other
